id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
1;?;61593;A;0.0787241;0.015;65.9447212;0.014;117.7481318;3.5888314;00 00 18.771;+65 56 41.34;432308082052936576;432308082052936576;224733;-99.99;4026-546-1
2;?;61590;;0.0840125;0.043;-39.3986493;0.037;340.6121803;-73.7664123;00 00 20.142;-39 23 55.24;2306324354788491392;2306324354788491392;-99.99;-99.99;7523-1013-1
3;;61600;;0.0969371;0.013;47.373833;0.011;114.0379903;-14.6144119;00 00 23.244;+47 22 26.02;387262877366317184;387262877366317184;-99.99;-99.99;3250-424-1
4;*;61610;;0.1819224;0.031;45.253338;0.023;113.6494324;-16.7024692;00 00 43.635;+45 15 12.00;386569051169184384;386569051169184384;224801;63;3246-2388-1
5;;61630;;0.2132265;0.011;66.6391033;0.013;117.9379306;4.2590822;00 00 51.155;+66 38 20.81;528430618367737856;528430618367737856;-99.99;-99.99;4026-398-1
6;;61620;A;0.2304869;0.029;-20.4240275;0.021;60.3758218;-76.6514286;00 00 55.336;-20 25 26.18;2341743369530647296;2341743369530647296;224818;-99.99;5844-855-1
7;?;61640;;0.2563644;0.069;-24.7140385;0.075;42.1431018;-78.4162498;00 01 01.477;-24 42 50.57;2336600717425196544;2336600717425196544;-99.99;85;6412-408-1
8;;61650;;0.2836889;0.016;35.7466426;0.011;111.5916493;-26.0149487;00 01 08.093;+35 44 47.98;2877047790994974080;2877047790994974080;-99.99;-99.99;2271-938-1
9;;61660;;0.4156194;0.02;73.6117926;0.022;119.380005;11.0842578;00 01 39.487;+73 36 42.70;537612876192148096;537612876192148096;224890;128;4306-28-1
10;;61670;;0.432733;0.032;42.3671346;0.026;113.217655;-19.5650863;00 01 43.842;+42 22 01.85;384429951297794944;384429951297794944;224906;137;2789-544-1
11;;61680;;0.4561135;0.117;-3.0275492;0.091;94.5932723;-63.1364976;00 01 49.446;-03 01 39.06;2448177130188111232;2448177130188111232;224926;145;4666-935-1
12;;61687;;0.5196751;0.058;-22.3275151;0.041;53.4405453;-77.815279;00 02 04.743;-22 19 38.90;2340488693620299008;2340488693620299008;224962;165;5844-204-1
13;;61690;;0.5602605;0.023;-11.9643633;0.022;83.2696018;-70.9437877;00 02 14.457;-11 57 51.79;2421615609320249216;2421615609320249216;224973;177;5263-361-1
14;;61700;;0.6691773;0.025;28.5422249;0.017;110.1366378;-33.1151081;00 02 40.609;+28 32 32.03;2854894246601910784;2854894246601910784;225024;214;1735-1155-1
15;;61710;A;0.7036629;0.033;-23.875842;0.032;46.7573698;-78.5626494;00 02 48.853;-23 52 32.85;2339762397470743040;2339762397470743040;225040;-99.99;6412-153-1
16;;61720;;0.8031685;0.049;-31.2123783;0.042;8.8549296;-78.7165997;00 03 12.734;-31 12 44.64;2314536645791848320;2314536645791848320;225077;257;6989-1000-1
17;?;61726;;0.849554;0.031;73.1745069;0.028;119.4184826;10.6313019;00 03 23.970;+73 10 28.25;537573538585529344;537573538591031040;225093;270;4306-146-1
18;;61730;;0.8529616;0.015;-35.965129;0.015;349.0901279;-76.5004226;00 03 24.678;-35 57 54.63;2309518882743792512;2309518882743792512;225100;271;6995-1209-1
19;*;61740;;0.904632;0.033;-28.4171379;0.032;23.2164356;-79.3486322;00 03 37.094;-28 25 01.60;2333119869770412288;2333119869770412288;225119;291;6418-1219-1
20;;61736;;0.9089069;0.022;70.3060237;0.025;118.8929805;7.8100369;00 03 38.086;+70 18 21.79;530808793299817728;530808793299817728;225114;292;4298-755-1
21;;61750;A;0.9695673;0.013;57.378287;0.014;116.5314337;-4.9012441;00 03 52.620;+57 22 41.78;422575926682887424;422575926682887424;225137;303;3660-1183-1
22;;61756;;1.0463299;0.029;-4.9261119;0.028;93.9511695;-65.1044271;00 04 11.086;-04 55 33.90;2444650481001321856;2444650481001321856;225184;327;4666-734-1
23;?;61760;;1.0955445;0.036;-29.381559;0.037;17.9137017;-79.4007876;00 04 22.908;-29 22 53.53;2320979852649326336;2320979852649326336;225206;349;6418-802-1
24;?;61765;;1.142537;0.017;-73.8529124;0.016;307.351518;-42.8708136;00 04 34.104;-73 51 10.57;4688613731718711680;4688613731718711680;225234;-99.99;9140-465-1
25;;61770;;1.1725392;0.059;-71.4369484;0.049;308.1838666;-45.2115744;00 04 41.336;-71 26 12.80;4701860922688030720;4701860922688030720;225253;377;9137-3789-1
26;?;61780;;1.2118642;0.03;-29.6330262;0.024;16.4670972;-79.4560204;00 04 50.821;-29 37 58.91;2320926178443221888;2320926178443221888;225264;389;6418-912-1
27;*;61790;;1.2757674;0.035;61.3139792;0.038;117.3998949;-1.0591025;00 05 06.144;+61 18 50.34;429451138534730368;429451138534730368;225289;418;4014-3303-1
28;;4;;1.3996275;0.013;55.2696412;0.015;116.3833054;-7.0181996;00 05 35.892;+55 16 10.70;420447272170789760;420447272170789760;236298;-99.99;3656-506-1
29;;10;A;1.6012265;0.012;34.6068478;0.009;112.5088661;-27.351815;00 06 24.264;+34 36 24.26;2876686738864776832;2876686738864776832;154;-99.99;2267-251-1
30;;16;;1.8467756;0.023;-11.613003;0.018;87.1137431;-71.3528366;00 07 23.224;-11 36 46.72;2421707452900946176;2421707452900946176;267;609;5263-315-1
31;?;20;;1.9166061;0.03;1.09411;0.026;100.7114369;-59.8757649;00 07 39.995;+01 05 39.14;2546583661391637760;2546583661391637760;294;628;1-1394-1
32;;30;;1.9339159;0.052;-2.5486714;0.055;98.0205772;-63.286905;00 07 44.113;-02 32 55.20;2448436443133372544;2448436443133372544;315;635;4666-548-1
