id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;B;B_error;B_quality;B_uncertainty_flag;B-V;B-V_error;B-V_quality;B-V_uncertainty_flag;b-y;b-y_error;b-y_quality;b-y_uncertainty_flag;B1;B1_error;B1_quality;B1_uncertainty_flag;B1-B2;B1-B2_error;B1-B2_quality;B1-B2_uncertainty_flag;B2;B2_error;B2_quality;B2_uncertainty_flag;B2-G;B2-G_error;B2-G_quality;B2-G_uncertainty_flag;BP;BP_error;BP_quality;BP_uncertainty_flag;c1;c1_error;c1_quality;c1_uncertainty_flag;D;D_error;D_quality;D_uncertainty_flag;D(V1-G);D(V1-G)_error;D(V1-G)_quality;D(V1-G)_uncertainty_flag;Delta;Delta_error;Delta_quality;Delta_uncertainty_flag;Delta a;Delta a_error;Delta a_quality;Delta a_uncertainty_flag;g';g'_error;g'_quality;g'_uncertainty_flag;G;G_error;G_quality;G_uncertainty_flag;H;H_error;H_quality;H_uncertainty_flag;Hp;Hp_error;Hp_quality;Hp_uncertainty_flag;Hβ;Hβ_error;Hβ_quality;Hβ_uncertainty_flag;i';i'_error;i'_quality;i'_uncertainty_flag;J;J_error;J_quality;J_uncertainty_flag;K;K_error;K_quality;K_uncertainty_flag;m1;m1_error;m1_quality;m1_uncertainty_flag;r';r'_error;r'_quality;r'_uncertainty_flag;RP;RP_error;RP_quality;RP_uncertainty_flag;U;U_error;U_quality;U_uncertainty_flag;U-B;U-B_error;U-B_quality;U-B_uncertainty_flag;U-B1;U-B1_error;U-B1_quality;U-B1_uncertainty_flag;U-B2;U-B2_error;U-B2_quality;U-B2_uncertainty_flag;V;V_error;V_quality;V_uncertainty_flag;V-I;V-I_error;V-I_quality;V-I_uncertainty_flag;V1;V1_error;V1_quality;V1_uncertainty_flag;V1-G;V1-G_error;V1-G_quality;V1-G_uncertainty_flag;VM;VM_error;VM_quality;VM_uncertainty_flag;X;X_error;X_quality;X_uncertainty_flag;Y;Y_error;Y_quality;Y_uncertainty_flag;Z;Z_error;Z_quality;Z_uncertainty_flag
1;?;61593;A;0.0787241;0.015;65.9447212;0.014;117.7481318;3.5888314;00 00 18.771;+65 56 41.34;;;;;;;;;;;;;;;;;;;;;;;;;8.6261;0.666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;?;61590;;0.0840125;0.043;-39.3986493;0.037;340.6121803;-73.7664123;00 00 20.142;-39 23 55.24;10.143;0.029;;;;;;;;;;;;;;;;;;;;;;;10.1682;0.256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;61600;;0.0969371;0.013;47.373833;0.011;114.0379903;-14.6144119;00 00 23.244;+47 22 26.02;;;;;;;;;;;;;;;;;;;;;;;;;9.5013;0.187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;*;61610;;0.1819224;0.031;45.253338;0.023;113.6494324;-16.7024692;00 00 43.635;+45 15 12.00;;;;;-0.047;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;61630;;0.2132265;0.011;66.6391033;0.013;117.9379306;4.2590822;00 00 51.155;+66 38 20.81;10.378;0.012;;;;;;;;;;;;;;;;;;;;;;;10.2046;0.158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;61620;A;0.2304869;0.029;-20.4240275;0.021;60.3758218;-76.6514286;00 00 55.336;-20 25 26.18;10.034;0.02;;;0.17;;;;0.944;;;;-0.491;;;;1.435;;;;-0.463;;;;9.9377;0.225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;?;61640;;0.2563644;0.069;-24.7140385;0.075;42.1431018;-78.4162498;00 01 01.477;-24 42 50.57;10.95;0.014;;;0.359;0.019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;61650;;0.2836889;0.016;35.7466426;0.011;111.5916493;-26.0149487;00 01 08.093;+35 44 47.98;10.061;0.084;;;;;;;;;;;;;;;;;;;;;;;9.7118;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;61660;;0.4156194;0.02;73.6117926;0.022;119.380005;11.0842578;00 01 39.487;+73 36 42.70;10.099;0.0;;;0.182;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;61670;;0.432733;0.032;42.3671346;0.026;113.217655;-19.5650863;00 01 43.842;+42 22 01.85;;;;;-0.042;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
