id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;Gaia DR2_proper_motion_ra;Gaia DR2_proper_motion_ra_error;Gaia DR2_proper_motion_dec;Gaia DR2_proper_motion_dec_error;Gaia DR2_parallax;Gaia DR2_parallax_error;Hipparcos_proper_motion_ra;Hipparcos_proper_motion_ra_error;Hipparcos_proper_motion_dec;Hipparcos_proper_motion_dec_error;Hipparcos_parallax;Hipparcos_parallax_error;Gaia DR3_proper_motion_ra;Gaia DR3_proper_motion_ra_error;Gaia DR3_proper_motion_dec;Gaia DR3_proper_motion_dec_error;Gaia DR3_parallax;Gaia DR3_parallax_error
1;?;61593;A;0.0787241;0.015;65.9447212;0.014;117.7481318;3.5888314;00 00 18.771;+65 56 41.34;43.205;0.058;2.855;0.052;5.1206;0.0392;43.023;0.017;2.889;0.017;5.155;0.017;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
2;?;61590;;0.0840125;0.043;-39.3986493;0.037;340.6121803;-73.7664123;00 00 20.142;-39 23 55.24;17.139;0.207;2.732;0.141;0.9091;0.1065;16.701;0.045;2.599;0.044;1.155;0.055;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
3;;61600;;0.0969371;0.013;47.373833;0.011;114.0379903;-14.6144119;00 00 23.244;+47 22 26.02;10.39;0.072;-6.436;0.046;2.0851;0.0461;10.553;0.015;-6.617;0.013;1.977;0.016;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
4;*;61610;;0.1819224;0.031;45.253338;0.023;113.6494324;-16.7024692;00 00 43.635;+45 15 12.00;17.683;0.099;0.919;0.065;5.3162;0.0768;17.745;0.033;0.607;0.027;5.578;0.041;17.45;0.22;-0.01;0.21;5.32;0.32
5;;61630;;0.2132265;0.011;66.6391033;0.013;117.9379306;4.2590822;00 00 51.155;+66 38 20.81;8.945;0.047;-3.061;0.045;2.7691;0.0337;8.966;0.014;-3.251;0.016;2.792;0.015;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
6;;61620;A;0.2304869;0.029;-20.4240275;0.021;60.3758218;-76.6514286;00 00 55.336;-20 25 26.18;-9.87;0.224;-9.757;0.161;1.9434;0.1033;-8.002;0.035;-9.971;0.024;2.297;0.03;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
7;?;61640;;0.2563644;0.069;-24.7140385;0.075;42.1431018;-78.4162498;00 01 01.477;-24 42 50.57;47.077;0.099;-1.834;0.107;4.2019;0.0828;45.541;0.085;-0.651;0.087;3.636;0.094;46.75;2.48;-0.22;0.85;3.28;1.9
8;;61650;;0.2836889;0.016;35.7466426;0.011;111.5916493;-26.0149487;00 01 08.093;+35 44 47.98;-4.747;0.087;-12.926;0.045;2.7091;0.0552;-4.847;0.023;-13.021;0.016;2.787;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
9;;61660;;0.4156194;0.02;73.6117926;0.022;119.380005;11.0842578;00 01 39.487;+73 36 42.70;77.152;0.054;-12.075;0.05;14.2137;0.0296;76.77;0.027;-12.116;0.031;14.337;0.024;75.65;0.33;-13.03;0.27;14.13;0.34
10;;61670;;0.432733;0.032;42.3671346;0.026;113.217655;-19.5650863;00 01 43.842;+42 22 01.85;4.9;0.096;-1.784;0.094;2.855;0.0657;4.654;0.036;-1.959;0.033;2.977;0.048;5.52;0.27;-1.98;0.21;2.67;0.4
11;;61680;;0.4561135;0.117;-3.0275492;0.091;94.5932723;-63.1364976;00 01 49.446;-03 01 39.06;18.844;0.463;-9.7;0.253;7.1373;0.2447;17.905;0.138;-10.329;0.089;7.585;0.167;19.08;0.32;-9.66;0.16;7.18;0.3
12;;61687;;0.5196751;0.058;-22.3275151;0.041;53.4405453;-77.815279;00 02 04.743;-22 19 38.90;-10.165;0.079;-5.861;0.057;1.6574;0.0492;-8.636;0.062;-6.704;0.049;1.683;0.072;-6.73;1.45;-7.18;0.7;1.31;1.61
13;;61690;;0.5602605;0.023;-11.9643633;0.022;83.2696018;-70.9437877;00 02 14.457;-11 57 51.79;8.571;0.134;-3.27;0.065;4.8299;0.059;8.96;0.033;-3.365;0.026;4.906;0.03;8.59;1.11;-1.68;0.58;4.2;1.06
14;;61700;;0.6691773;0.025;28.5422249;0.017;110.1366378;-33.1151081;00 02 40.609;+28 32 32.03;-0.174;0.087;-1.032;0.038;5.448;0.0666;-0.41;0.038;-1.031;0.021;5.494;0.036;1.17;0.67;-0.67;0.43;3.77;0.91
15;;61710;A;0.7036629;0.033;-23.875842;0.032;46.7573698;-78.5626494;00 02 48.853;-23 52 32.85;21.582;0.135;-11.677;0.109;1.6621;0.1105;21.42;0.039;-11.641;0.038;1.686;0.047;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
16;;61720;;0.8031685;0.049;-31.2123783;0.042;8.8549296;-78.7165997;00 03 12.734;-31 12 44.64;21.108;0.265;1.226;0.187;4.4333;0.1536;21.197;0.052;1.5;0.046;4.27;0.062;18.42;1.1;3.53;0.59;4.7;0.99
17;?;61726;;0.849554;0.031;73.1745069;0.028;119.4184826;10.6313019;00 03 23.970;+73 10 28.25;-21.326;0.057;2.252;0.045;4.871;0.0289;-21.392;0.04;2.193;0.037;5.0;0.034;-21.6;0.41;2.08;0.38;4.76;0.43
18;;61730;;0.8529616;0.015;-35.965129;0.015;349.0901279;-76.5004226;00 03 24.678;-35 57 54.63;22.488;0.097;6.612;0.058;4.6041;0.0446;22.291;0.015;6.509;0.016;4.789;0.02;21.89;0.84;4.97;0.74;4.95;0.96
19;*;61740;;0.904632;0.033;-28.4171379;0.032;23.2164356;-79.3486322;00 03 37.094;-28 25 01.60;11.196;0.108;-0.235;0.076;1.4598;0.0662;11.227;0.045;-0.364;0.037;1.466;0.045;10.26;0.98;-0.09;0.5;2.1;0.85
20;;61736;;0.9089069;0.022;70.3060237;0.025;118.8929805;7.8100369;00 03 38.086;+70 18 21.79;9.847;0.067;-1.214;0.074;3.5131;0.0444;9.807;0.028;-1.416;0.034;3.608;0.028;10.21;0.57;-1.03;0.53;2.76;0.59
21;;61750;A;0.9695673;0.013;57.378287;0.014;116.5314337;-4.9012441;00 03 52.620;+57 22 41.78;32.195;0.058;1.539;0.052;3.8966;0.0468;32.072;0.016;1.443;0.018;3.965;0.019;32.15;0.73;1.01;0.62;4.86;0.91
22;;61756;;1.0463299;0.029;-4.9261119;0.028;93.9511695;-65.1044271;00 04 11.086;-04 55 33.90;24.092;0.121;-0.966;0.074;3.362;0.0754;24.135;0.042;-0.769;0.029;3.17;0.041;25.92;1.71;-2.43;0.76;1.55;1.25
23;?;61760;;1.0955445;0.036;-29.381559;0.037;17.9137017;-79.4007876;00 04 22.908;-29 22 53.53;18.749;0.132;3.195;0.099;4.1044;0.0757;19.06;0.049;2.858;0.046;4.27;0.043;19.65;0.78;2.41;0.44;3.45;0.68
24;?;61765;;1.142537;0.017;-73.8529124;0.016;307.351518;-42.8708136;00 04 34.104;-73 51 10.57;29.662;0.056;-11.472;0.053;4.6665;0.0313;29.441;0.024;-11.254;0.024;4.767;0.019;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
25;;61770;;1.1725392;0.059;-71.4369484;0.049;308.1838666;-45.2115744;00 04 41.336;-71 26 12.80;30.21;0.18;-13.056;0.166;5.3143;0.1152;30.282;0.081;-13.114;0.06;5.58;0.06;29.62;0.24;-12.76;0.2;5.7;0.24
26;?;61780;;1.2118642;0.03;-29.6330262;0.024;16.4670972;-79.4560204;00 04 50.821;-29 37 58.91;19.343;0.122;2.938;0.095;4.4078;0.0866;19.342;0.042;2.916;0.028;4.298;0.034;20.41;1.01;2.81;0.58;4.54;0.94
27;*;61790;;1.2757674;0.035;61.3139792;0.038;117.3998949;-1.0591025;00 05 06.144;+61 18 50.34;14.924;0.115;2.055;0.107;4.5632;0.077;14.981;0.044;2.054;0.048;4.734;0.054;14.29;0.23;2.38;0.22;4.51;0.26
28;;4;;1.3996275;0.013;55.2696412;0.015;116.3833054;-7.0181996;00 05 35.892;+55 16 10.70;8.487;0.062;-4.088;0.06;2.2849;0.0452;8.505;0.018;-4.115;0.02;2.464;0.02;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
29;;10;A;1.6012265;0.012;34.6068478;0.009;112.5088661;-27.351815;00 06 24.264;+34 36 24.26;0.101;0.057;-11.239;0.031;3.2883;0.0501;0.092;0.016;-11.385;0.01;3.339;0.017;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
30;;16;;1.8467756;0.023;-11.613003;0.018;87.1137431;-71.3528366;00 07 23.224;-11 36 46.72;-4.299;0.172;-11.146;0.077;6.2681;0.0603;-4.53;0.029;-11.229;0.021;6.418;0.026;-4.78;1.04;-10.2;0.48;7.34;0.93
31;?;20;;1.9166061;0.03;1.09411;0.026;100.7114369;-59.8757649;00 07 39.995;+01 05 39.14;-14.087;0.182;-21.596;0.098;3.7825;0.0884;-13.42;0.041;-21.465;0.039;3.793;0.036;-15.74;0.97;-22.2;0.45;4.47;0.76
32;;30;;1.9339159;0.052;-2.5486714;0.055;98.0205772;-63.286905;00 07 44.113;-02 32 55.20;26.692;0.155;2.231;0.09;4.4433;0.0975;26.822;0.067;1.978;0.061;4.574;0.08;29.33;0.72;1.91;0.33;5.45;0.49
33;;40;;2.0402178;0.018;31.3789849;0.014;112.2028661;-30.5895544;00 08 09.591;+31 22 44.42;43.58;0.083;-2.537;0.035;5.0891;0.0531;43.72;0.026;-2.811;0.016;5.264;0.027;44.16;0.46;-3.05;0.27;4.98;0.46
34;*;50;;2.096932;-99.99;29.090387;-99.99;111.732;-32.843;00 08 23.264;+29 05 25.39;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99;137.46;0.38;-163.44;0.21;33.62;0.35
35;?;60;A;2.2146854;0.015;37.2153633;0.01;113.5996863;-24.8836029;00 08 51.507;+37 12 55.70;11.559;0.072;-14.323;0.038;5.4259;0.051;11.335;0.024;-14.414;0.013;5.567;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
36;;70;;2.2506963;0.027;28.2475157;0.023;111.69144;-33.6963235;00 09 00.162;+28 14 51.22;5.491;0.079;-5.388;0.094;8.8387;0.0588;5.208;0.042;-5.827;0.037;8.814;0.041;6.18;0.38;-6.31;0.25;9.02;0.49
37;?;90;;2.5288488;0.046;-26.2156382;0.034;36.2388518;-80.7263216;00 10 06.922;-26 12 56.48;-1.416;0.152;8.001;0.105;1.661;0.0916;-1.455;0.053;7.77;0.039;1.558;0.053;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
38;?;80;;2.5542995;0.029;25.5267587;0.026;111.3597126;-36.4170062;00 10 13.036;+25 31 36.22;1.99;0.096;0.459;0.079;3.2011;0.0604;2.48;0.044;0.4;0.041;3.185;0.04;1.2;0.99;0.31;0.55;2.43;0.96
39;;100;;2.7161998;0.036;40.5775474;0.025;114.6580863;-21.6414708;00 10 51.888;+40 34 39.28;2.411;0.076;-6.439;0.046;2.475;0.062;0.97;0.04;-6.134;0.031;2.938;0.049;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
40;?;110;;2.8692826;0.017;-26.2536739;0.015;36.2656993;-81.0340179;00 11 28.634;-26 15 11.62;0.292;0.085;-95.911;0.061;3.395;0.0454;0.137;0.019;-96.169;0.019;3.342;0.021;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
41;;113;;2.919619;0.02;0.1220968;0.014;101.9897377;-61.1226149;00 11 40.680;+00 07 19.44;31.148;0.126;2.199;0.078;3.2546;0.0895;31.377;0.028;2.104;0.017;3.453;0.024;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
42;?;120;;3.0567661;0.032;-18.995415;0.023;72.950998;-77.8653709;00 12 13.618;-18 59 43.54;8.497;0.138;7.584;0.098;1.9892;0.0723;8.289;0.039;7.506;0.027;1.775;0.036;-99.99;-99.99;-99.99;-99.99;-99.99;-99.99
43;*;130;;3.3037334;0.021;62.0407925;0.021;118.467833;-0.4992074;00 13 12.722;+62 02 27.14;72.828;0.05;-19.147;0.046;8.0774;0.0303;72.804;0.027;-19.171;0.026;8.088;0.027;72.61;0.35;-19.62;0.38;8.33;0.42
